,model,fold_number,metric_name,metric_value
197,MLP,24,F1 Score,0.5367621793796062
198,SKL,24,Accuracy,0.5453194650817236
199,SKL,24,F1 Score,0.5193368170470103
200,RND,25,Accuracy,0.5191926696384349
201,RND,25,F1 Score,0.35663253177719206
202,RNN,25,Accuracy,0.5529965329370976
203,RNN,25,F1 Score,0.5485446393503693
204,MLP,25,Accuracy,0.5516344725111442
205,MLP,25,F1 Score,0.5505582341317652
206,SKL,25,Accuracy,0.5477959385834572
207,SKL,25,F1 Score,0.5215997503072938
208,RND,26,Accuracy,0.5185735512630015
209,RND,26,F1 Score,0.3565691506879561
210,RNN,26,Accuracy,0.5575780089153046
211,RNN,26,F1 Score,0.5273368343323745
212,MLP,26,Accuracy,0.5617880138682516
213,MLP,26,F1 Score,0.5537764292998248
214,SKL,26,Accuracy,0.554358593363051
215,SKL,26,F1 Score,0.5263534892916462
216,RND,27,Accuracy,0.5190688459633482
217,RND,27,F1 Score,0.35679477939003934
218,RNN,27,Accuracy,0.5526250619118376
219,RNN,27,F1 Score,0.552775435197436
220,MLP,27,Accuracy,0.5557206537890045
221,MLP,27,F1 Score,0.5546946595129241
222,SKL,27,Accuracy,0.5506438831104508
223,SKL,27,F1 Score,0.5232644598166604
224,RND,28,Accuracy,0.5188211986131749
225,RND,28,F1 Score,0.3569001336351331
226,RNN,28,Accuracy,0.5588162456661714
227,RNN,28,F1 Score,0.5585064766312755
228,MLP,28,Accuracy,0.5529965329370976
229,MLP,28,F1 Score,0.5423579766135769
230,SKL,28,Accuracy,0.5461862308073303
231,SKL,28,F1 Score,0.5124002562749298
232,RND,29,Accuracy,0.519935611688955
233,RND,29,F1 Score,0.35871553992529087
234,RNN,29,Accuracy,0.557454185240218
235,RNN,29,F1 Score,0.549471269804533
236,MLP,29,Accuracy,0.5589400693412581
237,MLP,29,F1 Score,0.5580858827088265
238,SKL,29,Accuracy,0.5505200594353641
239,SKL,29,F1 Score,0.5224900396965305
